PA,SZ,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over
Ang Mo Kio,Ang Mo Kio Town Centre,170,260,330,310,290,290,280,330,430,470,350,350,290,270,200,140,80,40,10
Ang Mo Kio,Cheng San,1050,1000,1060,1210,1380,1810,2010,2220,2050,2220,2070,2160,2200,2150,1570,1020,580,310,150
Ang Mo Kio,Chong Boon,840,880,1020,1150,1380,1600,1930,1820,1900,1840,1980,2150,2160,2080,1670,1190,740,400,200
Ang Mo Kio,Kebun Bahru,730,840,1020,1090,1170,1450,1400,1550,1700,1860,1820,1800,1750,1700,1300,900,590,330,140
Ang Mo Kio,Sembawang Hills,200,280,410,460,530,510,320,290,400,540,540,550,480,420,300,240,150,100,50
Ang Mo Kio,Shangri-La,540,590,680,720,860,1030,1030,1010,1090,1170,1260,1420,1240,1140,910,670,400,240,120
Ang Mo Kio,Tagore,220,320,430,490,570,690,490,360,450,600,590,700,710,520,330,220,190,100,60
Ang Mo Kio,Townsville,750,910,930,830,930,1370,1370,1520,1700,1550,1400,1630,1680,1590,1310,960,610,330,180
Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang East,160,170,230,260,320,330,240,240,250,330,290,350,360,250,170,110,80,30,30
Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang West,760,980,1270,1410,1490,1540,1440,1600,1790,1990,1870,1980,1940,1850,1200,710,420,230,100
Bedok,Bayshore,320,470,490,420,350,330,310,580,800,860,640,480,400,350,260,130,90,40,60
Bedok,Bedok North,2790,3140,3560,4250,4880,5740,5120,5340,5810,6030,6400,7050,6520,5950,4400,2640,1640,940,480
Bedok,Bedok Reservoir,1130,1270,1490,1510,1530,1590,1880,1940,2120,2120,1930,1880,1840,1470,890,490,300,180,70
Bedok,Bedok South,1490,1820,2200,2440,2850,3300,2870,2830,3160,3540,3580,3850,3760,3380,2570,1680,1220,680,370
Bedok,Frankel,1480,2050,2080,1720,1890,2050,1940,2490,2990,3130,2490,2270,2080,1940,1430,890,700,440,280
Bedok,Kaki Bukit,1210,1270,1650,2080,2690,3310,2760,2270,2320,2520,2630,3490,3460,2600,1700,870,550,230,170
Bedok,Kembangan,1440,1380,1570,1870,2120,2790,2730,2520,2400,2580,2740,3040,3280,2690,1950,1270,860,510,330
Bedok,Siglap,160,240,260,350,350,420,330,340,470,510,460,490,490,430,460,330,240,110,60
Bishan,Bishan East,850,1180,1330,1400,1580,2460,2040,1800,1920,2210,1920,2260,2420,2100,1350,870,570,300,150
Bishan,Marymount,1070,1390,1630,1720,2190,2590,1740,1850,2080,2290,2330,2590,2330,1700,1100,660,390,220,130
Bishan,Upper Thomson,930,1280,1470,1620,1800,2040,1650,1640,1940,2360,2260,2370,2390,1930,1430,1010,710,450,240
Boon Lay,Liu Fang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Samulun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Shipyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Tukang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Batok,Brickworks,1830,850,670,570,490,2200,2500,1240,1140,1000,790,610,460,320,210,130,60,40,10
Bukit Batok,Bukit Batok Central,1260,1270,1400,1530,1560,2040,2340,1930,1870,1990,2030,2060,2110,1660,1020,600,400,190,120
Bukit Batok,Bukit Batok East,330,360,600,630,840,970,850,830,840,970,1020,1220,1260,950,560,290,180,110,60
Bukit Batok,Bukit Batok South,720,700,760,900,1190,1170,1300,1110,930,1100,1200,1320,1210,720,370,170,110,60,30
Bukit Batok,Bukit Batok West,670,610,740,840,940,1020,1230,1070,1050,1070,1100,1230,1190,1000,550,300,190,130,70
Bukit Batok,Gombak,370,540,570,570,650,700,610,770,900,790,720,720,630,540,380,250,190,90,50
Bukit Batok,Guilin,450,570,740,760,850,870,860,930,1000,1140,1150,1070,900,700,420,280,200,110,80
Bukit Batok,Hillview,580,750,1050,1430,1590,1400,1030,1030,1260,1690,1910,1760,1360,1010,570,350,190,120,60
Bukit Batok,Hong Kah North,920,990,1270,1570,1740,2140,1760,1690,1700,1930,2090,2460,2470,1660,940,560,300,170,80
Bukit Merah,Alexandra Hill,380,450,590,680,810,920,840,760,790,940,1020,1160,1130,1080,840,560,410,250,170
Bukit Merah,Alexandra North,150,150,130,80,70,110,200,270,250,240,160,110,80,50,40,20,10,0,0
Bukit Merah,Bukit Ho Swee,520,630,540,540,620,850,970,1040,970,1010,1010,1180,1310,1120,880,680,460,280,170
Bukit Merah,Bukit Merah,20,40,40,70,80,70,60,70,50,90,80,90,80,100,70,50,30,10,0
Bukit Merah,City Terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Merah,Depot Road,370,390,360,290,300,290,500,550,680,580,430,380,370,350,290,190,110,60,20
Bukit Merah,Everton Park,250,290,330,360,340,450,490,580,660,650,580,540,630,600,470,320,250,120,60
Bukit Merah,Henderson Hill,440,450,510,580,640,860,910,780,800,940,1040,1090,1080,980,810,640,450,260,120
Bukit Merah,Kampong Tiong Bahru,230,250,370,370,460,560,490,480,580,690,740,750,850,810,610,470,340,160,100
Bukit Merah,Maritime Square,180,210,190,150,90,140,170,340,390,360,280,240,180,150,90,80,60,50,40
Bukit Merah,Redhill,520,710,610,500,500,640,650,820,1100,920,770,750,610,490,390,270,240,110,130
Bukit Merah,Singapore General Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Merah,Telok Blangah Drive,1070,830,770,720,740,1190,1990,1670,1460,1360,1230,1220,1200,1180,980,700,460,220,120
Bukit Merah,Telok Blangah Rise,340,410,440,520,620,760,660,770,900,930,830,940,1060,1120,910,590,350,170,80
Bukit Merah,Telok Blangah Way,270,400,400,360,430,510,470,570,740,790,710,780,810,730,570,430,300,170,120
Bukit Merah,Tiong Bahru,760,670,540,450,440,730,1130,1190,1220,990,790,780,830,810,650,450,300,150,150
Bukit Merah,Tiong Bahru Station,600,770,820,710,710,1060,1020,1160,1240,1290,1120,1090,1050,800,710,540,420,210,110
Bukit Panjang,Bangkit,670,770,1030,1230,1660,1950,1440,1260,1380,1590,1870,2250,1940,1390,870,610,370,210,100
Bukit Panjang,Dairy Farm,290,370,450,500,460,490,450,440,560,610,530,530,420,290,190,90,50,40,20
Bukit Panjang,Fajar,1660,1720,1640,1650,1770,2180,2450,2300,1960,2010,1930,2130,1780,1260,780,490,290,140,70
Bukit Panjang,Jelebu,930,1190,1520,1990,2520,2710,2080,1770,1980,2460,2730,2900,2620,1770,1120,620,450,180,120
Bukit Panjang,Nature Reserve,160,160,230,250,290,250,210,230,260,360,330,340,270,190,130,70,50,30,10
Bukit Panjang,Saujana,1690,1600,1550,1580,1730,1790,2390,2260,1860,1890,1710,1950,1800,1140,590,290,180,120,70
Bukit Panjang,Senja,1300,1420,1260,1300,1140,1190,1720,1970,1610,1690,1350,1310,1140,870,550,300,170,100,60
Bukit Timah,Anak Bukit,720,1110,1270,1290,1520,1730,1330,1240,1460,1720,1620,1680,1710,1410,950,650,460,250,130
Bukit Timah,Coronation Road,310,470,470,450,350,360,310,430,560,610,450,400,330,330,270,200,130,70,50
Bukit Timah,Farrer Court,320,510,390,400,290,350,350,510,560,620,450,400,330,310,230,170,140,80,30
Bukit Timah,Hillcrest,400,720,630,610,550,410,400,580,780,850,760,620,540,380,380,270,190,120,50
Bukit Timah,Holland Road,460,780,820,760,630,520,480,610,960,1110,840,690,560,490,370,270,180,110,70
Bukit Timah,Leedon Park,320,310,400,360,380,330,360,430,480,600,560,430,370,350,350,160,110,70,50
Bukit Timah,Swiss Club,240,300,350,310,310,330,270,350,380,440,410,340,320,290,190,150,120,70,50
Bukit Timah,Ulu Pandan,390,620,670,630,660,680,560,550,830,940,840,780,730,700,580,310,230,120,70
Central Water Catchment,Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changi,Changi Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changi,Changi Point,0,0,20,30,20,20,20,20,30,50,60,60,70,40,20,20,0,0,0
Changi,Changi West,130,130,120,80,60,80,120,140,130,120,80,40,30,30,10,10,0,0,0
Changi Bay,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choa Chu Kang,Choa Chu Kang Central,880,1080,1360,1520,1870,1870,1330,1480,1660,1870,2090,1930,1410,940,560,360,230,110,60
Choa Chu Kang,Choa Chu Kang North,920,1190,1780,2700,3650,2770,1660,1630,1700,2570,3590,3060,2140,1330,720,460,310,190,70
Choa Chu Kang,Keat Hong,3410,2380,1990,2100,2380,3520,4390,3200,2520,2380,2470,2160,1570,1070,620,330,250,160,60
Choa Chu Kang,Peng Siang,1600,1610,1690,2060,2610,2760,2700,2410,2210,2350,2730,2800,2240,1660,930,460,310,180,110
Choa Chu Kang,Teck Whye,770,810,1030,1440,2050,2340,1570,1370,1310,1750,2120,2440,2000,1510,940,630,380,170,90
Choa Chu Kang,Yew Tee,1400,2080,2560,2950,3420,2960,2390,2870,3290,3690,3710,3290,2710,1650,860,540,320,170,90
Clementi,Clementi Central,480,630,670,640,720,890,820,990,1090,1210,960,1020,990,1020,840,520,310,170,90
Clementi,Clementi North,1470,1230,1150,1210,1280,1650,2320,2420,2240,2160,1940,1950,1930,2110,1730,1130,760,360,240
Clementi,Clementi West,540,630,780,800,820,890,840,1110,1280,1320,1200,1190,1240,1200,800,510,260,130,50
Clementi,Clementi Woods,690,700,780,780,800,910,1060,1200,1130,1150,1150,1200,1030,1090,920,530,350,160,80
Clementi,Faber,300,450,430,370,340,360,400,510,550,530,410,310,270,240,170,100,70,30,10
Clementi,Pandan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clementi,Sunset Way,190,240,280,340,400,390,370,320,380,440,480,490,470,500,370,200,140,70,40
Clementi,Toh Tuck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clementi,West Coast,290,430,520,410,340,340,270,440,610,650,500,380,320,300,240,140,80,40,10
Downtown Core,Anson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Bayfront Subzone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Bugis,20,40,10,40,50,50,70,90,70,90,70,60,60,70,60,30,20,10,20
Downtown Core,Cecil,0,0,0,0,20,20,40,40,20,20,20,10,10,0,0,0,0,0,0
Downtown Core,Central Subzone,40,30,30,30,20,50,70,100,100,110,70,50,40,20,20,0,0,0,0
Downtown Core,City Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Clifford Pier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Marina Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Maxwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Phillip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Raffles Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Core,Tanjong Pagar,20,20,10,0,20,50,90,80,70,50,40,40,30,20,20,0,0,0,30
Geylang,Aljunied,1290,1550,1770,1750,1990,2840,2930,2980,3130,3230,2900,3180,3140,2550,1860,1270,910,550,370
Geylang,Geylang East,1180,1350,1440,1460,1620,2070,2030,2240,2400,2320,2120,2170,2280,1950,1570,970,630,380,220
Geylang,Kallang Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geylang,Kampong Ubi,400,470,550,630,800,1110,960,830,840,750,830,1100,1110,770,480,270,110,60,40
Geylang,Macpherson,1090,950,1150,1360,1580,1960,1990,1740,1690,1920,2300,2450,2260,1800,1220,1000,730,400,230
Hougang,Defu Industrial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hougang,Hougang Central,130,140,220,290,350,450,310,260,270,350,400,430,410,300,180,120,70,50,30
Hougang,Hougang East,1440,1210,1030,1140,1610,2110,2420,2150,1700,1610,1710,2120,1800,1320,830,480,260,150,80
Hougang,Hougang West,1250,1350,1730,2190,3160,4050,3260,2690,2630,3020,3530,4620,4380,3240,1960,1160,700,400,210
Hougang,Kangkar,1770,1610,1520,1660,1670,2110,2770,2600,2410,2440,2240,2300,2150,1760,1130,770,530,250,130
Hougang,Kovan,870,1140,1300,1520,1690,1910,1580,1540,1760,2050,1830,1960,1900,1440,1000,650,430,210,170
Hougang,Lorong Ah Soo,960,1130,1480,1780,1980,2280,2120,2100,2210,2500,2480,2660,2760,2250,1630,1060,720,380,170
Hougang,Lorong Halus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hougang,Tai Seng,450,590,700,790,1010,1000,860,820,860,1020,1100,1170,1170,950,610,470,330,190,120
Hougang,Trafalgar,2070,2090,2450,2790,3300,3740,3380,3120,3400,3700,3970,4150,3630,2680,1610,920,560,310,150
Jurong East,International Business Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong East,Jurong Gateway,20,20,30,20,30,40,50,40,50,50,30,20,20,20,0,0,0,0,0
Jurong East,Jurong Port,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong East,Jurong River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong East,Lakeside,20,20,20,20,40,50,60,50,60,60,60,60,80,90,60,50,30,10,10
Jurong East,Penjuru Crescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong East,Teban Gardens,830,880,880,990,1050,1170,1330,1400,1350,1330,1360,1390,1340,1440,1030,540,320,120,90
Jurong East,Toh Guan,420,550,700,920,1050,1280,1010,950,940,1160,1120,1340,1360,940,470,250,150,100,30
Jurong East,Yuhua East,700,820,1070,1260,1470,1810,1690,1640,1690,1850,1830,1940,2200,1940,1340,760,460,280,150
Jurong East,Yuhua West,640,720,930,1120,1280,1440,1320,1130,1290,1470,1510,1610,1630,1420,860,500,320,180,90
Jurong West,Boon Lay Place,1670,1710,1630,1770,1830,2020,2370,2470,2180,2290,2240,2110,1720,1480,980,620,340,160,70
Jurong West,Chin Bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong West,Hong Kah,1830,2240,2720,3150,3360,3900,3680,3780,3930,4200,4040,4120,4410,3720,2440,1350,710,350,170
Jurong West,Jurong West Central,2770,3780,4380,4030,3740,4390,4860,5760,6340,5690,4550,4210,4080,2920,1630,790,460,190,120
Jurong West,Kian Teck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong West,Safti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurong West,Taman Jurong,2090,2280,2250,2540,2670,2870,2930,3190,3090,3260,3180,2820,2430,1900,1150,720,360,230,90
Jurong West,Wenya,470,630,670,520,370,460,550,880,910,720,520,430,400,330,180,120,70,50,30
Jurong West,Yunnan,2260,2960,3780,4670,5730,5950,4130,4600,4950,5170,5900,5680,4700,3550,2060,1070,600,270,170
Kallang,Bendemeer,1840,1730,1420,1400,1540,2360,3160,3220,3000,2730,2340,2490,2650,2440,1780,1300,840,480,370
Kallang,Boon Keng,470,440,410,520,560,780,870,870,780,890,900,920,960,850,640,480,300,210,100
Kallang,Crawford,260,230,290,290,370,450,430,400,530,580,690,880,870,790,670,500,360,200,110
Kallang,Geylang Bahru,320,360,500,580,660,690,670,690,810,970,970,1020,930,810,610,450,370,190,120
Kallang,Kallang Bahru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kallang,Kampong Bugis,30,20,20,40,50,110,70,60,60,50,40,80,100,70,70,20,10,0,0
Kallang,Kampong Java,370,480,470,480,530,630,660,730,880,960,810,790,780,710,590,390,280,120,100
Kallang,Lavender,340,390,440,430,440,610,620,670,730,810,700,800,700,650,510,330,230,110,80
Kallang,Tanjong Rhu,400,540,680,690,550,510,560,810,1080,1240,980,790,700,550,390,290,160,70,40
Lim Chu Kang,Lim Chu Kang,0,0,0,10,10,0,0,0,0,0,10,20,10,0,10,0,0,0,0
Mandai,Mandai East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandai,Mandai Estate,80,90,130,140,170,160,130,130,140,170,170,180,120,90,70,40,30,20,0
Mandai,Mandai West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marina East,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marina South,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Parade,East Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Parade,Katong,410,500,470,520,510,550,490,720,850,860,730,670,580,500,400,220,200,120,90
Marine Parade,Marina East (Mp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
